,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
23,삼성전자 갤럭시북 NT750XDZ-A51A WIN10,"950,000",39.6cm(15.6인치),코어i5-11세대,윈도우10,16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,54Wh,65W,15.4mm,1.55kg,총4개,○,
24,ASUS TUF Gaming F15 FX506HM-HN130,"1,169,000",39.62cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,8GB,512GB,M.2(NVMe),RTX3060,,○,90Wh,200W,24.5mm,2.3kg,총4개,○,
25,MSI GF시리즈 Sword GF76 A11UE 블랙 WIN10 32GB램,"1,547,260",43.94cm(17.3인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3060,○,○,53.5Wh,180W,25.2mm,2.6kg,총4개,○,
26,LG전자 2022 그램16(12세대) 16Z90Q-EA5WK,"2,083,190",40.6cm(16인치),코어i5-12세대,윈도우11홈,16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),RTX2050,○,,90Wh,65W,16.8mm,1.285kg,총4개,○,
27,ASUS ROG 제피러스 G15 GA503RM-HQ049,"1,880,000",39.62cm(15.6인치),라이젠7-5세대,미포함(프리도스),16:9,,DDR5,16GB,512GB,M.2(NVMe),RTX3060,,○,90Wh,200W,19.9mm,1.9kg,총4개,○,
28,ASUS 비보북 프로 16X OLED M7600QE-L2041,"1,490,000",40.8cm(16인치),라이젠9-4세대,미포함(프리도스),16:10,,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,○,○,96Wh,120W,18.9mm,1.95kg,총4개,○,
29,레노버 요가 Slim7 Carbon 14ACN6 82L0004XKR,"1,688,990",35.56cm(14인치),라이젠7-4세대,윈도우11홈,16:10,,LPDDR4x(온보드),16GB,1TB,M.2(NVMe),MX450,,○,61Wh,,14.9mm,1.09kg,총3개,,○
30,주연테크 리오나인 젠 L8CF35T,"799,000",43.94cm(17.3인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3050 Ti,,○,41Wh,150W,25.9mm,2.5kg,총4개,○,
31,APPLE 2020 맥북에어 MGN93KH/A,"1,088,300",33.78cm(13.3인치),실리콘 M1,macOS Big Sur,16:10,,,8GB,256GB,SSD,M1 7 core,,○,49.9Wh,30W,16.1mm,1.29kg,총2개,○,
32,주연테크 아이언2 J6LF,"788,410",39.62cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,36Wh,65W,19.9mm,1.59kg,총4개,○,
33,ASUS TUF Gaming A17 FA707RM-HX015,"1,655,920",43.94cm(17.3인치),라이젠7-5세대,미포함(프리도스),16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3060,,○,90Wh,240W,24.5mm,2.6kg,총4개,○,
34,레노버 요가 Slim7 Carbon13ITL5 82EV0033KR,"930,020",33.7cm(13인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),Iris Xe,,,50Wh,,15mm,970g,총3개,,○
35,ASUS TUF Dash F15 FX516PR-HN002,"3,331,950",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,,DDR4,16GB,512GB,M.2(NVMe),RTX3070,,,76Wh,200W,19.9mm,2kg,총4개,○,
